web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700697471-126","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Darth Vader (Death Star II)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/darth-vader-death-star-ii-5991.php","Star Wars The Vintage Collection Darth Vader (Death Star II)","Star Wars The Vintage Collection Darth Vader (Death Star II) 
Once a heroic Jedi Knight, Darth Vader was seduced by the Dark Side of the Force, became a Sith Lord, and led the Empire’s eradication of the Jedi Order. He remained in service of Darth Sidious for decades, seeking to crush the fledgling Rebel Alliance. But there was still good in him…","/star-wars/images/thumbs/darth-vader-death-star-ii-5991.jpg","C$29.72"
"1700697473-127","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Tusken Warrior (Female)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/tusken-warrior-female-6175.php","Star Wars The Vintage Collection Tusken Warrior (Female)","Star Wars The Vintage Collection Tusken Warrior (Female) 
Part of a tribe of Tusken Raiders, Tusken Warriors wear abundant clothing to protect themselves from Tatooine’s twin suns. They fear little and make sudden raids on local settlers.","/star-wars/images/thumbs/tusken-warrior-female-6175.jpg","C$17.33"
"1700697475-128","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett (Comic Art Edition)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/boba-fett-comic-art-edition-5571.php","Star Wars The Vintage Collection Boba Fett (Comic Art Edition)","Star Wars The Vintage Collection Boba Fett (Comic Art Edition) 
With his customized Mandalorian armor, deadly weaponry, and silent demeanor, Boba Fett was one of the most feared hunters in the Star Wars galaxy","/star-wars/images/thumbs/boba-fett-comic-art-edition-5571.jpg","C$21.14"
"1700697477-129","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett (Vintage Comic Art)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/boba-fett-vintage-comic-art-5570.php","Star Wars The Vintage Collection Boba Fett (Vintage Comic Art)","Star Wars The Vintage Collection Boba Fett (Vintage Comic Art) 
With his customized Mandalorian armor, deadly weaponry, and silent demeanor, Boba Fett was one of the most feared hunters in the Star Wars galaxy.","/star-wars/images/thumbs/boba-fett-vintage-comic-art-5570.jpg","C$25.20"
"1700697480-130","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Bib Fortuna (Tatooine)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/bib-fortuna-tatooine-7073.php","Star Wars The Vintage Collection Bib Fortuna (Tatooine)","Star Wars The Vintage Collection Bib Fortuna (Tatooine) 
Included with Boba Fett’s Throne Room. Bib Fortuna (Tatooine) includes his staff and is VC 276.","/star-wars/images/thumbs/bib-fortuna-tatooine-7073.jpg","C$110.58"
"1700697482-131","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","ARC Commander Colt","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/arc-commander-colt-5514.php","Star Wars The Vintage Collection ARC Commander Colt","Star Wars The Vintage Collection ARC Commander Colt 
Colt served in Rancor Battalion with ARC Commander Havoc and helped manage cadet training on the world Kamino. Colt protected Tipoca City during an attack on Kamino by assassin Asajj Ventress, where he faced Grievous—and eventually Ventress herself.","/star-wars/images/thumbs/arc-commander-colt-5514.jpg","C$34.75"
"1700697484-132","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett (Kenner)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/boba-fett-kenner-5526.php","Star Wars The Vintage Collection Boba Fett (Kenner)","Star Wars The Vintage Collection Boba Fett (Kenner) 
With his customized Mandalorian armor, deadly weaponry, and silent demeanor, Boba Fett was one of the most feared hunters in the Star Wars galaxy.","/star-wars/images/thumbs/boba-fett-kenner-5526.jpg","C$42.70"
"1700697486-133","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","ARC Commander Havoc","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/arc-commander-havoc-5309.php","Star Wars The Vintage Collection ARC Commander Havoc","Star Wars The Vintage Collection ARC Commander Havoc 
Clone trooper Havoc proved himself as a soldier and was rewarded with a promotion to ARC trooper. He served in Rancor Battalion with Commander Colt and oversaw clone cadets' training on the world Kamino.



Includes 5 accessories, including a removable helmet.","/star-wars/images/thumbs/arc-commander-havoc-5309.jpg","C$31.61"
"1700697488-134","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Scout Trooper (ROTJ)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/scout-trooper-rotj-6256.php","Star Wars The Vintage Collection Scout Trooper (ROTJ)","Star Wars The Vintage Collection Scout Trooper (ROTJ) 
Scout troopers were lightly armored compared with other Stormtroopers, which allowed them to move more quickly and easily in a range of environments.



This figure is included with the Speeder Bike & Scout Trooper set.","/star-wars/images/thumbs/scout-trooper-rotj-6256.jpg","C$28.27"
"1700697490-135","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Endor Rebel Commando (Scout Trooper Disguise)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/endor-rebel-commando-scout-trooper-disguise-5556.php","Star Wars The Vintage Collection Endor Rebel Commando (Scout Trooper Disguise)","Star Wars The Vintage Collection Endor Rebel Commando (Scout Trooper Disguise) 
Star Wars Vintage Collection Endor Rebel Commando (Scout Trooper Disguise) included with Endor Bunker playset.","/star-wars/images/thumbs/endor-rebel-commando-scout-trooper-disguise-5556.jpg","C$44.29"
"1700697492-136","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Admiral Piett","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/admiral-piett-5987.php","Star Wars The Vintage Collection Admiral Piett","Star Wars The Vintage Collection Admiral Piett 
An ambitious Imperial officer, Piett rose through the Empire’s ranks and was granted a battlefield promotion to admiral – and given a grisly warning of the penalty for failure.","/star-wars/images/thumbs/admiral-piett-5987.jpg","C$22.73"
"1700697495-137","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Clone Trooper (Phase II Armor)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/clone-trooper-phase-ii-armor-5986.php","Star Wars The Vintage Collection Clone Trooper (Phase II Armor)","Star Wars The Vintage Collection Clone Trooper (Phase II Armor) 
Phase II clone trooper armor was the standard issue clone trooper armor worn by clone troopers of the Grand Army of the Republic, consisting of white plastoid plates over a black body glove.","/star-wars/images/thumbs/clone-trooper-phase-ii-armor-5986.jpg","C$27.20"
"1700697497-138","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Hunter","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/hunter-5985.php","Star Wars The Vintage Collection Hunter","Star Wars The Vintage Collection Hunter 
Hunter was the nickname of a clone commando sergeant who served as the commanding officer of Clone Force 99 in the Grand Army of the Republic during the Clone Wars, fought between the Galactic Republic and the Confederacy of Independent Systems. He was genetically altered to have heightened senses and commanded his comrades who had their own unique mutations, in what they called the Bad Batch.","/star-wars/images/thumbs/hunter-5985.jpg","C$21.76"
"1700697499-139","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Cassian Andor (Aldhani Mission)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/cassian-andor-aldhani-mission-5989.php","Star Wars The Vintage Collection Cassian Andor (Aldhani Mission)","Star Wars The Vintage Collection Cassian Andor (Aldhani Mission) 
In an era filled with danger, deception, and intrigue, Cassian Andor embarks on a path that will turn him into the rebel hero who will challenge the evil Galactic Empire.","/star-wars/images/thumbs/cassian-andor-aldhani-mission-5989.jpg","C$15.43"
