web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700698580-501","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Python Patrol Tele-Viper & Cobra Flight Pod (Trubble Bubble)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/python-patrol-tele-viper-cobra-flight-pod-trubble-bubble-7061.php","G.I. Joe 6"" Classified Series Python Patrol Tele-Viper & Cobra Flight Pod (Trubble Bubble)","G.I. Joe 6"" Classified Series Python Patrol Tele-Viper & Cobra Flight Pod (Trubble Bubble) 
G.I. Classified Series Python Patrol Tele-Vipers drop into battle in their one-troop jet pods while jamming Joe communication frequencies. They bring nothing but trouble!



This Python Patrol Tele-Viper & Cobra Flight Pod (Trubble Bubble) figure and vehicle set contains 12 character-inspired accessories including two alternate heads, backpack with modular communications array, an aerial mine with removable hatch, and 2 missile accessories; plus a footlocker to stow their gear!","/gijoe/images/thumbs/python-patrol-tele-viper-cobra-flight-pod-trubble-bubble-7061.jpg","C$113.02"
"1700698582-502","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Cobra Officer (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-officer-python-patrol-7235.php","G.I. Joe 6"" Classified Series Cobra Officer (Python Patrol)","G.I. Joe 6"" Classified Series Cobra Officer (Python Patrol) 
G.I. Joe Classified Series Python Patrol Cobra Officer (#97) is trained at Cobra leadership schools in stealth tactics and coordinating infantry, armor, artillery, and air-support instantaneously. The slithering mastermind is dedicated to destroying G.I. Joe and the free world.



This Python Patrol Cobra Officer figure contains 9 character-inspired accessories including alternate head, goggles, knife, backpack holster, and 3 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/cobra-officer-python-patrol-7235.jpg","C$60.76"
"1700698585-503","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Copperhead (Python Patrol)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/copperhead-python-patrol-3350.php","G.I. Joe 6"" Classified Series Copperhead (Python Patrol)","G.I. Joe 6"" Classified Series Copperhead (Python Patrol) 
An inveterate gambler, G.I. Joe Classified Copperhead (Python Patrol) has gambled his way into hacking through the swamps in the service of Cobra – likely to pay off his misbegotten debts. Without enough money to cover what he owes, he joined Python Patrol for the extra paychecks.



Contains 4 character-inspired accessories including a machete, backpack holster, and weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/copperhead-python-patrol-3350.jpg","C$62.32"
"1700698587-504","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Steel Corps Troopers","https://www.actionfigure411.com/gijoe/6-classified-series/classified/steel-corps-troopers-5682.php","G.I. Joe 6"" Classified Series Steel Corps Troopers","G.I. Joe 6"" Classified Series Steel Corps Troopers 
G.I. Joe Classified Series Steel Corps. Action Figure 2-Pack announced in Feb 2023. These nameless, faceless Joes are the vanguard troops who launch into battle and hold fast at the front line.



Includes 28 character-inspired accessory pieces including 2 J.U.M.P. jetpacks, alternate heads, 13 blast effects, and 11 weapon accessories; plus a footlocker to stow all their gear!","/gijoe/images/thumbs/steel-corps-troopers-5682.jpg","C$81.68"
"1700698589-505","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Mole Rat","https://www.actionfigure411.com/gijoe/6-classified-series/classified/mole-rat-6896.php","G.I. Joe 6"" Classified Series Mole Rat","G.I. Joe 6"" Classified Series Mole Rat 
While Cobra headhunts top scientists and researchers from across the globe, less-qualified recruits wind up as Mole Rats, quarriers and miners seeking new energy sources to power Cobra’s war machine. Extracting deposits of volatile Dark Energon has sparked certain troopers to become mindless husks bent on destroying anything in their path.



This Mole Rat figure contains 7 character-inspired accessories including backpack , scanner, cannister, mutated head, and a drill trigger with drill bit and weapon accessory; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/mole-rat-6896.jpg","C$51.37"
"1700698591-506","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Snow Serpent (Deluxe)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/snow-serpent-deluxe-6852.php","G.I. Joe 6"" Classified Series Snow Serpent (Deluxe)","G.I. Joe 6"" Classified Series Snow Serpent (Deluxe) 
Snakes usually tend to be cold blooded, but Snow Serpents thrive in polar temperatures as the frontline arctic infantry troopers of the Cobra forces. They can traverse vast icy plains and then vanish in a snow drift remaining still for hours or even days only to emerge with a lethal barrage on their unsuspecting foes.



This Deluxe Snow Serpent figure contains 20 character-inspired accessories including snowboard, snowshoes, backpack, wolf pelt cape, wolf head cowl, goggles, knife, and 12 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/snow-serpent-deluxe-6852.jpg","C$61.83"
"1700698593-507","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Desert Commando Snake Eyes","https://www.actionfigure411.com/gijoe/6-classified-series/classified/desert-commando-snake-eyes-6823.php","G.I. Joe 6"" Classified Series Desert Commando Snake Eyes","G.I. Joe 6"" Classified Series Desert Commando Snake Eyes 
Subject was Ranger qualified and served in Long Range Recon Patrols in Southeast Asia. Left the service to study mystic martial arts with the same Ninja family that produced Storm Shadow. Snake-Eyes was living an ascetic existence alone in the High Sierras with a pet wolf named Timber when he was recruited for the G.I. Joe Team. Snake Eyes is proficient in 12 different unarmed fighting systems (Karate, Kung-Fu, Jujitsu) and is highly skilled in the use of edged weapons. Has received extensive training in mountaineering, underwater demolitions, jungle, desert and arctic survival, and some form of holistic medicine. Qualified Expert: All small arms.



""The man is a total mystery, but he's real good at his job, heck, he's the best.""","/gijoe/images/thumbs/desert-commando-snake-eyes-6823.jpg","C$31.46"
"1700698595-508","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Crimson Alley Viper","https://www.actionfigure411.com/gijoe/6-classified-series/classified/crimson-alley-viper-6894.php","G.I. Joe 6"" Classified Series Crimson Alley Viper","G.I. Joe 6"" Classified Series Crimson Alley Viper 
To consolidate their power within Cobra, the Crimson Strike Team (Tomax, Xamot, and the Baroness) have reassigned their most loyal and ruthlessly brutal troops to the Crimson Alley Viper squadrons. Crimson Alley Vipers were recently sent to quell a strange outbreak among the Mole Rat troopers excavating Dark Energon Mines.



This Crimson Alley Viper figure contains 10 character-inspired accessories including a visor mask, riot shield, grappling hook, backpack, 2 knives, and 2 weapon accessories; plus a footlocker to stow all his gear!","/gijoe/images/thumbs/crimson-alley-viper-6894.jpg","C$50.77"
"1700698598-509","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Jodie “Shooter” Craig (Nightforce)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/jodie-shooter-craig-nightforce-6895.php","G.I. Joe 6"" Classified Series Jodie “Shooter” Craig (Nightforce)","G.I. Joe 6"" Classified Series Jodie “Shooter” Craig (Nightforce) 
Jodie ""Shooter"" Craig may spend days motionless waiting for her target to appear. Then her esoteric knowledge of wind deflection and bullet drop along with precise breath control guide her as she flexes her trigger finger.



This Nightforce Jodie ""Shooter"" Craig figure contains 7 character-inspired accessories including alternate hair, alternate head with gas mask, knife, and 2 weapon accessories; plus a footlocker to stow all her gear!","/gijoe/images/thumbs/jodie-shooter-craig-nightforce-6895.jpg","C$55.09"
"1700698600-510","https://www.actionfigure411.com/gijoe/classified-price-guide.php","Flint (Tiger Force)","https://www.actionfigure411.com/gijoe/6-classified-series/classified/flint-tiger-force-7010.php","G.I. Joe 6"" Classified Series Flint (Tiger Force)","G.I. Joe 6"" Classified Series Flint (Tiger Force) 
Flint was a Rhodes Scholar and earned his degree in English Lit before applying the tenacity and concentration he had used so well scholastically to grind his way through G.I. Joe recruitment. Flint is a mission specialist and leader, providing tactical information and training to the team to make sure they’re ready for whatever Cobra throws at them.



Includes beret, machete, and 4 weapon accessories; plus a footlocker to stow all his gear!



Exclusive to Target with limited quantities available on HasbroPulse.com.","/gijoe/images/thumbs/flint-tiger-force-7010.jpg","C$43.29"
